essayid_sql,total_word_count,avg_word_length,avg_sentence_length,TTR,stop_word_count,unique_word_count,rare_word_count,avg_sentence_length,avg_parse_tree_depth,parse_tree_depth_variation,avg_adjectives_per_sentence,avg_adverbs_per_sentence,avg_verbs_per_sentence,avg_nouns_per_sentence,unknown,flesch_reading_ease,flesch_kincaid_grade_level,smog_index,sentiment_polarity,sentiment.subjectivity,perplexity
1,386,3.984455959,21.125,0.468911917,176,120,120,24.6875,5.25,2.41091269,1.25,1.4375,4.25,5.25,0,74.02,9,10.2,0.310470779,0.385612825,102.7955516
2,464,4.030172414,20.95,0.450431034,195,127,127,19.82608696,5.565217391,2.990217194,1.05,0.9,4.25,5.7,1,67.08,10,11.6,0.274,0.613166667,112.7120831
3,313,4.03514377,19.92857143,0.514376997,143,111,111,21.85714286,5.214285714,1.779990828,1.357142857,1.071428571,3.785714286,6.142857143,0,68.2,9,12,0.340392562,0.498657025,77.46703278
4,611,4.328968903,19.40740741,0.436988543,223,182,182,21.33333333,4.925925926,2.017073897,1.925925926,1.074074074,3.62962963,7.407407407,4,60.24,8,12.3,0.266827542,0.441795367,150.4519608
5,517,4.071566731,15.5,0.408123791,241,125,125,17.26666667,4.833333333,1.59338912,1,1.266666667,2.9,3.866666667,1,72.66,8,11.1,0.199683869,0.485813967,93.21253323
6,274,3.762773723,16.4,0.510948905,136,94,94,16.75,4.6875,1.569982086,0.8,1.133333333,3.133333333,4.266666667,1,81.22,6,9.7,0.17281746,0.337981859,114.3079897
7,580,3.982758621,16.63333333,0.406896552,243,150,150,19.13333333,4.866666667,1.687865187,0.933333333,1.366666667,2.766666667,4.533333333,2,71.55,7,10.6,0.113325563,0.441040441,107.3467371
8,556,4.037769784,12.35897436,0.408273381,236,136,136,15.13157895,4.342105263,1.705661097,1.076923077,0.897435897,2.820512821,2.871794872,3,75.81,6,9.9,0.262030423,0.574499559,80.19861156
9,512,3.833984375,12.65714286,0.451171875,224,147,147,14.45714286,4.2,1.753364113,0.857142857,1.028571429,2.428571429,3.2,1,75.61,6,9.3,0.247985957,0.541999261,119.443816
10,561,3.798573975,19.30769231,0.397504456,275,133,133,20.92592593,5.222222222,1.422916497,1.538461538,1.384615385,4.307692308,4.269230769,1,77.27,7,10.1,-0.01580049,0.565046296,99.19193911
